mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
17	16	31	31	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	245						
17	16	31	31	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	246						
17	16	32	32	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	247						
17	16	129/4	129/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	248						
17	16	65/2	65/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	249						
17	16	131/4	131/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	250						
17	16	31	31	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	251						
17	16	125/4	125/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	252						
17	16	63/2	63/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	253						
18	17	33	33	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	254						
18	17	135/4	135/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16	1/16	1	255						
18	17	135/4	135/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	256						
18	17	34	34	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	257						
18	17	137/4	137/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	258						
18	17	69/2	69/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	259						
18	17	139/4	139/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	260						
18	17	33	33	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	261						
18	17	67/2	67/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	262						
19	18	35	35	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	263						
19	18	141/4	141/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	264						
19	18	71/2	71/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	265						
19	18	36	36	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	266						
19	18	145/4	145/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	267						
19	18	73/2	73/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	268						
19	18	147/4	147/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	269						
19	18	35	35	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	270						
19	18	71/2	71/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	271						
20	19	37	37	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	272						
20	19	151/4	151/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	273						
20	19	303/8	303/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	274						
20	19	38	38	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	275						
20	19	153/4	153/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	276						
20	19	77/2	77/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	277						
20	19	155/4	155/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	278						
20	19	37	37	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	279						
