mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	12	0	0	4/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
12	12	1/2	1/2	4/4	1	1	IV6		C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
12	12	3/4	3/4	4/4	1	1	viio		C	I		viio		vii	o					o	0	0	5, 2, -1		5	5
13	13	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
13	13	1/4	1/4	4/4	1	1	ii6		C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
13	13	1/2	1/2	4/4	1	1	V(64)		C	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
13	13	3/4	3/4	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
14	14	1/2	1/2	4/4	1	1	IV6	vi	C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
15	15	0	0	4/4	1	1	viio\\		C	I		viio		vii	o				\\	o	0	0	5, 2, -1		5	5
15	15	3/4	3/4	4/4	1	1	v6		C	I		v6		v		6				m	0	0	-2, 2, 1		1	-2
